Dst Port,Pkt Size Avg,Pkt Len Mean,Flow Duration,Flow IAT Max,Bwd Pkts/s,Bwd Header Len,Fwd Header Len,Init Fwd Win Byts,Fwd Seg Size Min,Label
80,0.0,0.0,83,83.0,0.0,0,40,278,20,Benign
3389,170.35,162.2380952,5380660,3005575.0,1.858508064,236,224,8192,20,Benign
53,90.0,60.0,18354,18354.0,54.48403618,8,8,-1,8,Infilteration
80,34.0,29.75,29110805,29110330.0,0.1030545188,104,136,26883,32,DoS attacks-Slowloris
80,41.125,36.5555555556,5419559,5357534.0,0.7380674332,92,92,8192,20,Benign
54328,145.3333333,130.8,62925331,62800000.0,0.063567405,136,168,219,32,Benign
2382,0.0,0.0,267,267.0,3745.3183520599,20,24,1024,24,Benign
80,76.84375,74.5151515152,114399966,10012745.0,0.1311189201,444,352,8192,20,Benign
80,126.25,112.2222222222,5008279,4947979.0,0.7986775497,92,92,8192,20,Brute Force -Web
34036,160.25,142.4444444,3975422,3870396.0,0.754636866,104,168,237,32,Benign
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
80,8.0,5.3333333333,3,3.0,333333.333333333,32,32,211,32,DoS attacks-Slowloris
80,0.0,0.0,2056383,2056383.0,0.0,0,64,226,32,DoS attacks-GoldenEye
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
80,32.00023146,32.0,119561644,606889.0,0.0,0,1106008,-1,8,DDOS attack-LOIC-UDP
43983,0.0,0.0,86229084,86200000.0,0.0,0,40,62617,20,Benign
80,0.0,0.0,280,280.0,0.0,0,40,253,20,Benign
443,226.976744186,221.8181818182,116941472,10016049.0,0.179577011,564,452,8192,20,Benign
80,180.1428571,157.625,1830,971.0,2185.79235,92,72,65535,20,DDOS attack-HOIC
80,0.0,0.0,53615838,53600000.0,0.0,0,40,279,20,Benign
500,583.3333333333,500.0,89479607,41990301.0,0.0,0,48,-1,8,Brute Force -Web
443,265.125,249.5294117647,70937,17399.0,98.6791096325,152,192,8192,20,Benign
80,0.0,0.0,3314,3314.0,0.0,0,40,32738,20,DDOS attack-HOIC
53,113.0,75.3333333333,50848,50848.0,19.6664568911,8,8,-1,8,Benign
53,75.5,50.33333333,239,239.0,4184.100418,8,8,-1,8,Benign
22,106.4418604651,104.0227272727,366013,135865.0,57.3750112701,680,712,26883,32,SSH-Bruteforce
80,797.1682847896,794.5967741935,56693447,1006787.0,1.852065901,2112,4104,8192,20,Brute Force -XSS
80,0.0,0.0,1982591,1982591.0,0.0,0,64,226,32,DoS attacks-GoldenEye
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
64103,181.1428571,158.5,16738,15993.0,119.4885888,40,124,65535,20,Benign
53,84.25,67.4,94847,67617.0,21.08659209,16,16,-1,8,Benign
80,0.0,0.0,28983,28983.0,0.0,0,40,32738,20,DDOS attack-HOIC
80,166.25,147.7777777778,5050413,5003926.0,0.7920144353,136,136,26883,32,DoS attacks-GoldenEye
445,78.83333333,72.76923077,1406557,281470.0,3.554779508,108,148,8192,20,Benign
63167,0.0,0.0,34,34.0,0.0,0,40,260,20,Benign
5355,33.0,22.0,419092,419092.0,0.0,0,16,-1,8,Benign
53,65.0,43.3333333333,79549,79549.0,12.5708682699,8,8,-1,8,Benign
53,60.5,40.33333333,392,392.0,2551.020408,8,8,-1,8,Benign
80,0.0,0.0,9094,9094.0,0.0,0,40,32738,20,DDOS attack-HOIC
80,140.5555555556,133.1578947368,108253844,53247532.0,0.0277126418,100,496,26883,32,DoS attacks-Slowloris
53,62.25,49.8,31026,29231.0,64.46206408,16,16,-1,8,Benign
22,110.5,107.9302325581,388882,166695.0,51.4294824651,648,712,26883,32,SSH-Bruteforce
51459,182.2857143,159.5,20421,19592.0,97.93839675,40,124,65535,20,Benign
443,238.6,223.6875,418321,105240.0,14.343052345,132,192,8192,20,Benign
53,109.0,87.2,120096,93564.0,16.6533439915,16,16,-1,8,Benign
46828,0.0,0.0,86005671,86000000.0,0.0,0,40,62608,20,Benign
3389,180.6,169.3125,1234854,953148.0,5.668686339,152,172,8192,20,Benign
80,0.0,0.0,81613,44633.0,0.0,0,96,225,32,DoS attacks-Hulk
8080,65.0,56.875,10922,10179.0,366.2332906,92,72,8192,20,Bot
2126,0.0,0.0,341,341.0,2932.55132,20,24,1024,24,Infilteration
8423,0.0,0.0,86398718,86400000.0,0.0,0,40,62614,20,Benign
53,54.5,36.33333333,351,351.0,2849.002849,8,8,-1,8,Benign
21,0.0,0.0,3,3.0,333333.3333,20,40,26883,40,DoS attacks-SlowHTTPTest
443,377.3333333333,357.4736842105,2495176,1921834.0,3.60695999,184,192,8192,20,Benign
80,0.0,0.0,350,350.0,0.0,0,40,2047,20,Brute Force -Web
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
80,181.2857143,158.625,9914,8748.0,403.4698406,92,72,65535,20,DDOS attack-HOIC
80,0.0,0.0,1268,1268.0,0.0,0,40,32738,20,DDOS attack-HOIC
80,0.0,0.0,6603,6603.0,0.0,0,64,225,32,DoS attacks-Hulk
443,187.3030303,181.7941176,117742463,58900000.0,0.135889802,332,352,8192,20,Infilteration
80,166.625,148.1111111111,11985171,6981926.0,0.3337457597,136,136,26883,32,DoS attacks-GoldenEye
500,583.3333333333,500.0,89479722,41990318.0,0.0,0,48,-1,8,Brute Force -Web
3389,132.0,126.72,3973445,989032.0,2.5167077939,212,292,8192,20,Benign
80,126.25,112.2222222222,5008610,4952108.0,0.7986247681,92,92,8192,20,Brute Force -Web
443,41.0,30.75,847,832.0,0.0,0,60,254,20,Benign
80,32.00028007,32.0,119634834,695871.0,0.0,0,914048,-1,8,DDOS attack-LOIC-UDP
21,0.0,0.0,1,1.0,1000000.0,20,40,26883,40,FTP-BruteForce
59627,0.0,0.0,39,39.0,0.0,0,40,256,20,Infilteration
80,0.0,0.0,29801,29801.0,0.0,0,40,32738,20,DDOS attack-HOIC
53,93.0,62.0,1609,1609.0,621.5040397763,8,8,-1,8,Benign
50504,0.0,0.0,8,8.0,125000.0,20,20,288,20,Benign
50985,20.6666666667,15.5,33,18.0,30303.0303030303,20,40,66,20,Benign
49727,0.0,0.0,49,49.0,0.0,0,40,260,20,Benign
3389,160.2941176471,151.3888888889,3592523,953193.0,1.9484913527,152,212,8192,20,Benign
80,0.0,0.0,53951419,53951419.0,0.0,0,40,279,20,Benign
80,126.25,112.2222222222,5007398,4953266.0,0.5991135516,72,112,8192,20,Brute Force -Web
137,66.6666666667,50.0,1528802,765601.0,0.0,0,24,-1,8,Benign
3389,180.6,169.3125,2312390,953186.0,3.027171022,152,172,8192,20,Benign
62023,178.1428571,155.875,1204,664.0,1661.129568,40,124,65535,20,Benign
80,0.0,0.0,15314,15314.0,0.0,0,64,225,32,DoS attacks-Hulk
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
53,100.5,67.0,641,641.0,1560.062402,8,8,-1,8,Benign
80,38.3333333333,32.8571428571,1023719,1022451.0,1.9536611121,72,144,26883,32,DoS attacks-Slowloris
80,0.0,0.0,9087,9087.0,0.0,0,64,225,32,DoS attacks-Hulk
80,0.0,0.0,2009514,2009514.0,0.0,0,64,226,32,DoS attacks-GoldenEye
80,92.7142857143,81.125,165137,123602.0,24.2223123831,92,72,8192,20,Benign
80,176.0,156.4444444444,6987261,6955858.0,0.4293527893,104,168,26883,32,DoS attacks-GoldenEye
80,496.0583657588,494.1356589147,56443836,1138095.0,1.8425395467,2092,3072,8192,20,Brute Force -Web
445,66.0833333333,61.0,1212549,303171.0,4.9482536376,128,128,8192,20,Benign
443,41.0,30.75,311,294.0,0.0,0,60,256,20,Benign
80,0.0,0.0,8428,8428.0,0.0,0,64,225,32,DoS attacks-Hulk
445,0.0,0.0,171711,170422.0,5.823738724,32,72,8192,20,Benign
53,56.0,37.33333333,34918,34918.0,28.63852454,8,8,-1,8,Infilteration
5355,33.0,22.0,419194,419194.0,0.0,0,16,-1,8,Benign
3389,155.0555556,146.8947368,3566610,953189.0,2.523404577,204,192,8192,20,Benign
80,0.0,0.0,1121,1121.0,0.0,0,64,225,32,DoS attacks-Hulk
443,368.5882352941,348.1111111111,61021725,59951723.0,0.1147132435,152,212,8192,20,Benign
80,0.0,0.0,1489,1489.0,0.0,0,40,32738,20,DDOS attack-HOIC
80,0.0,0.0,72,72.0,0.0,0,40,2238,20,Benign
49937,182.2857143,159.5,18219,17533.0,109.7755091,40,124,65535,20,Benign
0,0.0,0.0,112639361,56319731.0,0.0,0,0,-1,0,Benign
50788,163.5,145.3333333,4256240,4137589.0,0.704847471,104,168,219,32,Benign
443,279.8,277.4876033058,116503476,3999079.0,0.515006093,1200,1200,256,20,Benign
500,583.3333333333,500.0,89479723,41990338.0,0.0,0,48,-1,8,Brute Force -Web
21,0.0,0.0,3,3.0,333333.3333,20,40,26883,40,DoS attacks-SlowHTTPTest
53,80.0,53.3333333333,15186,15186.0,65.8501251152,8,8,-1,8,Benign
3389,180.6,169.3125,2168470,950050.0,3.228082473,152,172,8192,20,Benign
53,85.5,57.0,764,764.0,1308.900524,8,8,-1,8,Benign
6951,0.0,0.0,86317016,86300000.0,0.0,0,40,62562,20,Benign
443,387.9444444444,367.5263157895,15051069,10017205.0,0.6644046346,224,172,8192,20,Benign
80,802.3908794788,799.7857142857,57778511,1024018.0,1.7999771576,2092,4072,8192,20,Brute Force -XSS
54142,0.0,0.0,9,9.0,111111.1111,20,20,913,20,Infilteration
80,0.0,0.0,104,104.0,0.0,0,40,2047,20,Brute Force -Web
80,0.0,0.0,2041,2041.0,0.0,0,40,32738,20,DDOS attack-HOIC
80,140.5555555556,133.1578947368,108830131,53247460.0,0.0275658953,100,496,26883,32,DoS attacks-Slowloris
21426,0.0,0.0,86159221,86159221.0,0.0,0,40,62562,20,Benign
80,0.0,0.0,1226,1226.0,0.0,0,40,32738,20,DDOS attack-HOIC
23,0.0,0.0,20,20.0,50000.0,20,20,14600,20,Benign
3389,89.95652174,86.20833333,4068026,937520.0,1.966555769,172,324,8192,20,Benign
80,0.0,0.0,25,25.0,0.0,0,40,2049,20,Brute Force -XSS
80,0.0,0.0,3191,3191.0,0.0,0,40,32738,20,DDOS attack-HOIC
50812,0.0,0.0,16,16.0,62500.0,20,20,31,20,Benign
80,0.0,0.0,221,214.0,0.0,0,60,2053,20,Brute Force -XSS
80,0.0,0.0,576,576.0,0.0,0,40,32738,20,DDOS attack-HOIC
53,84.5,56.3333333333,470,470.0,2127.6595744681,8,8,-1,8,Benign
53,81.5,54.33333333,791,791.0,1264.222503,8,8,-1,8,Benign
80,32.00038488,32.0,119404027,917759.0,0.0,0,665136,-1,8,DDOS attack-LOIC-UDP
80,192.375,171.0,5986102,5000397.0,0.6682144741,136,136,26883,32,DoS attacks-GoldenEye
3389,181.6666666667,170.3125,1670370,953252.0,4.1906882906,152,172,8192,20,Benign
37076,160.75,142.8888889,4234068,4129315.0,0.708538455,104,168,219,32,Benign
7625,0.0,0.0,337,337.0,2967.3590504451,20,24,1024,24,Benign
3389,171.6,163.4285714286,2705278,592593.0,3.6964777742,236,212,8192,20,Benign
53,74.0,49.3333333333,295,295.0,3389.8305084746,8,8,-1,8,Benign
0,0.0,0.0,112637685,56318853.0,0.0,0,0,-1,0,Benign
80,0.0,0.0,166,166.0,0.0,0,40,2047,20,Brute Force -Web
53,124.5,99.6,77828,52553.0,25.6976923472,16,16,-1,8,Benign
80,140.5555555556,133.1578947368,107570752,53247362.0,0.0278886216,100,496,26883,32,DoS attacks-Slowloris
4126,0.0,0.0,2,2.0,500000.0,20,24,1024,24,Infilteration
53,78.5,52.3333333333,261,261.0,3831.4176245211,8,8,-1,8,Benign
80,195.875,174.1111111111,7075992,6996387.0,0.423968823,104,168,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,126,126.0,0.0,0,40,2047,20,Brute Force -Web
80,496.046692607,494.1240310078,56492226,1106054.0,1.8409612678,2092,3072,8192,20,Brute Force -Web
80,144.75,128.6666666667,5009865,4952251.0,0.7984247081,92,92,8192,20,SQL Injection
3128,0.0,0.0,1000329,1000329.0,0.0,0,80,14600,40,Benign
22,104.0227272727,101.7111111111,347797,69983.0,63.2552897236,712,712,26883,32,SSH-Bruteforce
51242,179.7142857,157.25,1750,836.0,1142.857143,40,124,65535,20,Benign
80,0.0,0.0,9748,9748.0,0.0,0,40,32738,20,DDOS attack-HOIC
22,0.0,0.0,6,6.0,166666.666666667,32,32,241,32,SSH-Bruteforce
80,145.1111111,130.6,4463232,4395760.0,1.120264418,168,136,225,32,DoS attacks-Hulk
80,132.875,118.1111111111,5010136,5001762.0,0.798381521,136,136,26883,32,DoS attacks-GoldenEye
443,270.625,254.7058824,94912,23742.0,73.75252866,152,192,8192,20,Benign
80,0.0,0.0,5475,5475.0,0.0,0,64,225,32,DoS attacks-Hulk
80,0.0,0.0,1679228,1679228.0,0.0,0,64,226,32,DoS attacks-GoldenEye
80,174.25,154.8888888889,7139256,6933460.0,0.420211854,104,168,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,762,762.0,0.0,0,40,2053,20,Brute Force -XSS
63669,183.4285714,160.5,1105,622.0,1809.954751,40,124,65535,20,Benign
61333,178.7142857,156.375,1150,627.0,1739.130435,40,124,65535,20,Benign
1137,0.0,0.0,271,271.0,3690.0369,20,24,1024,24,Infilteration
8080,0.0,0.0,522,522.0,0.0,0,40,2052,20,Bot
53,84.25,67.4,38689,37628.0,51.69428003,16,16,-1,8,Benign
22,0.0,0.0,7,7.0,142857.142857143,32,32,241,32,SSH-Bruteforce
67,466.0,310.6666666667,601,601.0,1663.8935108153,8,8,-1,8,Benign
37109,0.0,0.0,86330218,86330218.0,0.0,0,40,62559,20,Benign
8080,0.0,0.0,448,448.0,0.0,0,40,2052,20,Bot
3389,180.6,169.3125,2044199,937638.0,3.4243241485,152,172,8192,20,Benign
500,583.3333333333,500.0,89479674,41990459.0,0.0,0,48,-1,8,Brute Force -Web
80,92.7142857143,81.125,814,221.0,4914.0049140049,92,72,8192,20,Benign
80,0.0,0.0,7488,7488.0,0.0,0,64,225,32,DoS attacks-Hulk
1032,0.0,0.0,2,2.0,500000.0,20,24,1024,24,Infilteration
80,0.0,0.0,407,400.0,0.0,0,60,2053,20,Brute Force -XSS
58830,169.1428571,148.0,1128,574.0,1773.049645,40,124,65535,20,Benign
80,0.0,0.0,8973729,8973729.0,0.0,0,64,226,32,DoS attacks-GoldenEye
80,126.25,112.2222222222,5008473,4947673.0,0.7986466134,92,92,8192,20,Brute Force -Web
80,0.0,0.0,865,865.0,0.0,0,64,225,32,DoS attacks-Hulk
55190,182.1428571,159.375,18427,17680.0,108.5363868,40,124,65535,20,Benign
80,126.25,112.2222222222,5004759,4938014.0,0.599429463,72,112,8192,20,Brute Force -Web
53,80.5,64.4,111691,110222.0,17.90654574,16,16,-1,8,Benign
80,140.5555555556,133.1578947368,108039857,53251696.0,0.0277675303,100,496,26883,32,DoS attacks-Slowloris
80,0.0,0.0,22116,22116.0,0.0,0,40,32738,20,DDOS attack-HOIC
3389,181.6666666667,170.3125,1660757,937554.0,4.2149453532,152,172,8192,20,Benign
53,96.0,64.0,714,714.0,1400.5602240896,8,8,-1,8,Benign
59987,168.8571429,147.75,16913,16407.0,118.252232,40,124,65535,20,Benign
80,126.25,112.2222222222,5007988,4939067.0,0.599042969,72,112,8192,20,Brute Force -Web
53,104.5,69.66666667,1378,1378.0,725.6894049,8,8,-1,8,Benign
80,0.0,0.0,82,82.0,0.0,0,40,2047,20,Brute Force -Web
80,6.0,4.8,118088710,118088705.0,0.0169364201,64,64,211,32,DoS attacks-Slowloris
51165,0.0,0.0,24,24.0,41666.6666666667,20,20,172,20,Benign
443,408.3333333333,382.8125,688440,361448.0,10.1679158678,152,172,8192,20,Benign
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
80,0.0,0.0,21995,21995.0,0.0,0,64,225,32,DoS attacks-Hulk
56810,0.0,0.0,86113937,86100000.0,0.0,0,40,62558,20,Benign
33390,145.3333333,130.8,64878769,64800000.0,0.061653451,136,168,237,32,Benign
3389,205.1578947368,194.9,7010928,4158706.0,1.1410757606,172,244,8192,20,Benign
445,78.83333333,72.76923077,1056119,211072.0,4.734314978,112,152,8192,20,Benign
80,516.3333333333,464.7,5013890,4940843.0,0.7977837567,92,112,8192,20,SQL Injection
3389,181.9333333,170.5625,1403194,968819.0,4.988618822,148,168,8192,20,Benign
80,140.5555555556,133.1578947368,106941932,53247733.0,0.0280526071,100,496,26883,32,DoS attacks-Slowloris
49620,175.1428571,153.25,1656,850.0,1207.729469,40,124,65535,20,Benign
500,583.3333333333,500.0,89479580,41990311.0,0.0,0,48,-1,8,Brute Force -Web
500,583.3333333333,500.0,89479606,41990407.0,0.0,0,48,-1,8,Brute Force -Web
80,190.625,169.4444444444,6897594,6892922.0,0.4349342684,104,168,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,16033325,16033325.0,0.0,0,64,226,32,DoS attacks-GoldenEye
80,0.0,0.0,390,390.0,0.0,0,40,2047,20,Brute Force -Web
3031,0.0,0.0,2,2.0,500000.0,20,24,1024,24,Infilteration
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
53,95.0,63.33333333,36740,36740.0,27.21829069,8,8,-1,8,Infilteration
3389,181.9333333333,170.5625,1181839,953090.0,5.9229725876,148,168,8192,20,Benign
61203,170.5714286,149.25,1252,679.0,1597.444089,40,124,65535,20,Benign
22,0.0,0.0,7,7.0,142857.142857143,32,32,241,32,SSH-Bruteforce
10157,0.0,0.0,86402309,86400000.0,0.0,0,40,62605,20,Benign
80,0.0,0.0,10064,10064.0,0.0,0,40,32738,20,DDOS attack-HOIC
53,109.5,73.0,1159,1159.0,862.812769629,8,8,-1,8,Benign
80,171.25,152.2222222222,5005735,5002799.0,0.7990834513,136,136,26883,32,DoS attacks-GoldenEye
53195,172.5714286,151.0,6392,5864.0,312.8911139,40,124,65535,20,Benign
80,110.6666666667,99.6,9924513,5003428.0,0.4030424465,136,176,26883,32,DoS attacks-GoldenEye
8080,0.0,0.0,606,606.0,0.0,0,40,2052,20,Bot
80,0.0,0.0,26870,26870.0,0.0,0,64,225,32,DoS attacks-Hulk
80,6.0,4.8,99999765,99999761.0,0.020000047,64,64,211,32,DoS attacks-Slowloris
53,118.0,78.66666667,1027,1027.0,973.7098345,8,8,-1,8,Benign
80,32.00030534,32.0,119739036,731023.0,0.0,0,838400,-1,8,DDOS attack-LOIC-UDP
80,173.875,154.5555555556,280747,178263.0,10.6857775862,104,168,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,3035669,2015906.0,0.0,0,120,26883,40,DoS attacks-Slowloris
0,0.0,0.0,112637360,56323819.0,0.0,0,0,-1,0,Benign
50243,0.0,0.0,14,14.0,71428.57143,20,20,913,20,Benign
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
53,60.5,40.3333333333,418,418.0,2392.3444976077,8,8,-1,8,Benign
0,0.0,0.0,78314125,38300000.0,0.0,0,0,-1,0,Benign
53,80.0,53.33333333,622,622.0,1607.717042,8,8,-1,8,Benign
443,0.0,0.0,216,216.0,0.0,0,40,258,20,Benign
80,6.0,4.8,105004403,105004399.0,0.0190468204,64,64,211,32,DoS attacks-Slowloris
53,57.5,38.3333333333,1349,1349.0,741.2898443291,8,8,-1,8,Benign
53,62.0,41.33333333,924,924.0,1082.251082,8,8,-1,8,Benign
21,0.0,0.0,3,3.0,333333.333333333,20,40,26883,40,FTP-BruteForce
8080,65.0,56.875,13669,12718.0,292.6329651,92,72,8192,20,Bot
21,0.0,0.0,3,3.0,333333.3333,20,40,26883,40,DoS attacks-SlowHTTPTest
80,0.0,0.0,5821967,5821633.0,0.1717632546,32,72,8192,20,Brute Force -Web
80,146.125,129.8888888889,11971516,6967864.0,0.3341264381,136,136,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,18545,18545.0,0.0,0,64,225,32,DoS attacks-Hulk
80,8.0,5.3333333333,5,5.0,200000.0,32,32,211,32,DoS attacks-Slowloris
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
80,0.0,0.0,1806868,1806868.0,0.0,0,64,221,32,DoS attacks-GoldenEye
445,78.8333333333,72.7692307692,1366812,282745.0,3.6581475726,112,152,8192,20,Benign
3389,180.6,169.3125,1672751,953167.0,4.184723249,152,172,8192,20,Benign
80,150.375,133.6666666667,174766,145926.0,17.1658102835,104,168,26883,32,DoS attacks-GoldenEye
53,95.5,63.66666667,601,601.0,1663.893511,8,8,-1,8,Benign
80,0.0,0.0,664,664.0,0.0,0,64,225,32,DoS attacks-Hulk
80,172.125,153.0,11804067,6798957.0,0.3388662569,136,136,26883,32,DoS attacks-GoldenEye
9878,0.0,0.0,1,1.0,1000000.0,20,24,1024,24,Benign
80,132.2222222222,125.2631578947,107262002,53247724.0,0.0279688981,100,496,26883,32,DoS attacks-Slowloris
80,262.6666666667,246.25,13992405,6655928.0,0.2144020274,104,392,26883,32,DoS attacks-GoldenEye
80,496.0661478599,494.1434108527,56723607,1145946.0,1.8334518113,2092,3072,8192,20,Brute Force -Web
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
80,32.00046347,32.0,119817045,924193.0,0.0,0,552360,-1,8,DDOS attack-LOIC-UDP
80,167.875,149.2222222222,5016948,5004610.0,0.7972974805,136,136,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,137,137.0,0.0,0,40,253,20,Benign
51049,0.0,0.0,24,24.0,41666.6666666667,20,20,980,20,Benign
53,70.0,46.6666666667,1342,1342.0,745.1564828614,8,8,-1,8,Benign
7100,0.0,0.0,1,1.0,1000000.0,20,24,1024,24,Infilteration
22,104.3863636364,102.0666666667,330488,98466.0,66.5682263804,712,712,26883,32,SSH-Bruteforce
8080,0.0,0.0,467,467.0,0.0,0,40,2052,20,Bot
80,0.0,0.0,5669,5669.0,0.0,0,40,2047,20,Brute Force -Web
445,72.09090909,66.08333333,555967,139205.0,8.993339533,112,132,8192,20,Benign
80,0.0,0.0,3031662,2016077.0,0.0,0,120,26883,40,DoS attacks-Slowloris
80,0.0,0.0,110,110.0,0.0,0,40,2047,20,Brute Force -Web
80,0.0,0.0,14295,14295.0,0.0,0,64,225,32,DoS attacks-Hulk
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,FTP-BruteForce
53,68.0,45.3333333333,322,322.0,3105.5900621118,8,8,-1,8,Benign
60812,157.625,140.1111111,4264863,4205288.0,0.703422361,104,168,219,32,Benign
53,96.5,64.33333333,3418,3418.0,292.5687537,8,8,-1,8,Benign
21,0.0,0.0,2,2.0,500000.0,20,40,26883,40,DoS attacks-SlowHTTPTest
53,60.5,40.3333333333,431,431.0,2320.1856148492,8,8,-1,8,Benign
57096,179.7142857,157.25,1269,719.0,1576.044129,40,124,65535,20,Benign
